
Техника тест-дизайна: Таблица принятия решений
Выбрал поле для проверки "Срок кредита"
| Вводимое значение | Ожидаемый результат                                     | Валидность   |
|-------------------:|:-------------------------------------------------------|:------------:|
| (пустое значение) | Ошибка: поле обязательно для заполнения                | Невалидное  |
| 0                 | Ошибка: значение должно быть больше 0                  | Невалидное  |
| -1                | Ошибка: значение не может быть отрицательным           | Невалидное  |
| 1                 | Валидное значение, срок кредита установлен             | Валидное    |
| 10                | Валидное значение, срок кредита установлен             | Валидное    |
| 100               | Валидное значение, срок кредита установлен             | Валидное    |
| 101               | Ошибка: превышено максимальное значение (100 лет)      | Невалидное  |
| 10.5              | Ошибка: значение должно быть целым числом              | Невалидное  |
| abc               | Ошибка: значение должно быть числом                    | Невалидное  |
